"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"036 Glenbrohane, Co. Limerick",452,430,219,211,-22,-4.9
 ,"037 Griston, Co. Limerick",299,304,155,149,5,1.7
 ,"038 Hospital, Co. Limerick",1257,1330,691,639,73,5.8
 ,"039 Kilfinnane, Co. Limerick",1129,1123,579,544,-6,-0.5
 ,"040 Kilflyn, Co. Limerick",227,198,107,91,-29,-12.8
 ,"041 Kilmallock, Co. Limerick",2373,2400,1184,1216,27,1.1
 ,"042 Kilteely, Co. Limerick",609,580,305,275,-29,-4.8
 ,"043 Knockainy, Co. Limerick",732,722,372,350,-10,-1.4
 ,"044 Knocklong, Co. Limerick",885,865,429,436,-20,-2.3
 ,"045 Particles, Co. Limerick",222,238,116,122,16,7.2
 ,"046 Rockhill, Co. Limerick",330,324,160,164,-6,-1.8
 ,"047 Tobernea, Co. Limerick",670,643,309,334,-27,-4
 ,"048 Uregare, Co. Limerick",625,631,324,307,6,1
 ,"Limerick No. 1 rural area, Co. Limerick",55485,57781,28820,28961,2296,4.1
 ,"049 Abington, Co. Limerick",1206,1240,616,624,34,2.8
 ,"050 Ballybricken, Co. Limerick",1738,1804,918,886,66,3.8
 ,"051 Ballycummin, Co. Limerick",17490,18489,9068,9421,999,5.7
 ,"052 Ballysimon, Co. Limerick",13073,13760,6971,6789,687,5.3
 ,"053 Ballyvarra, Co. Limerick",4269,4295,2125,2170,26,0.6
 ,"054 Caherconlish East, Co. Limerick",514,507,251,256,-7,-1.4
 ,"055 Caherconlish West, Co. Limerick",2050,2228,1093,1135,178,8.7
 ,"056 Caherelly, Co. Limerick",342,366,185,181,24,7
 ,"057 Cappamore, Co. Limerick",1428,1359,668,691,-69,-4.8
 ,"058 Carrig, Co. Limerick",607,593,300,293,-14,-2.3
 ,"059 Castleconnell, Co. Limerick",3180,3352,1664,1688,172,5.4
 ,"060 Clarina, Co. Limerick",1730,1769,862,907,39,2.3
 ,"061 Clonkeen, Co. Limerick",920,988,485,503,68,7.4
 ,"062 Doon West, Co. Limerick",240,238,121,117,-2,-0.8
 ,"063 Glenstal, Co. Limerick",1095,1142,649,493,47,4.3
 ,"064 Kilmurry, Co. Limerick",897,902,460,442,5,0.6
 ,"066 Limerick South Rural, Co. Limerick",1660,1804,922,882,144,8.7
 ,"067 Patrickswell, Co. Limerick",1445,1450,697,753,5,0.3
 ,"068 Roxborough, Co. Limerick",1601,1495,765,730,-106,-6.6
 ,"Mitchelstown No. 2 rural area, Co. Limerick",3247,3230,1656,1574,-17,-0.5
 ,"069 Anglesborough, Co. Limerick",336,339,182,157,3,0.9
 ,"070 Ballylanders, Co. Limerick",652,631,330,301,-21,-3.2
 ,"071 Cullane, Co. Limerick",367,375,186,189,8,2.2
 ,"072 Duntryleague, Co. Limerick",352,339,176,163,-13,-3.7
 ,"073 Galbally, Co. Limerick",546,565,281,284,19,3.5
 ,"074 Kilbeheny, Co. Limerick",253,237,125,112,-16,-6.3
 ,"075 Kilglass, Co. Limerick",312,302,151,151,-10,-3.2
 ,"076 Knocknascrow, Co. Limerick",191,194,97,97,3,1.6
 ,"077 Riversdale, Co. Limerick",238,248,128,120,10,4.2
 ,"Newcastle rural area, Co. Limerick",23954,24023,12097,11926,69,0.3
 ,"078 Abbeyfeale, Co. Limerick",2528,2545,1245,1300,17,0.7
 ,"079 Ardagh, Co. Limerick",1006,990,507,483,-16,-1.6
 ,"080 Ballintober, Co. Limerick",360,374,198,176,14,3.9
 ,"081 Ballynoe West, Co. Limerick",336,333,173,160,-3,-0.9
 ,"082 Boola, Co. Limerick",138,153,82,71,15,10.9
 ,"083 Broadford, Co. Limerick",917,957,491,466,40,4.4
 ,"084 Caher, Co. Limerick",364,353,179,174,-11,-3
 ,"085 Cleanglass, Co. Limerick",282,284,146,138,2,0.7
 ,"086 Cloncagh, Co. Limerick",294,299,152,147,5,1.7
 ,"087 Danganbeg, Co. Limerick",415,410,199,211,-5,-1.2
 ,"088 Dromcolliher, Co. Limerick",984,946,480,466,-38,-3.9
 ,"089 Dromtrasna, Co. Limerick",890,895,470,425,5,0.6
 ,"090 Feenagh, Co. Limerick",347,333,167,166,-14,-4
 ,"091 Garryduff, Co. Limerick",284,272,143,129,-12,-4.2
 ,"092 Glenagower, Co. Limerick",527,503,251,252,-24,-4.6
 ,"093 Glengort, Co. Limerick",701,664,334,330,-37,-5.3
 ,"094 Glensharrold, Co. Limerick",448,418,211,207,-30,-6.7
 ,"095 Kilmeedy, Co. Limerick",373,354,186,168,-19,-5.1
 ,"096 Knockaderry, Co. Limerick",506,513,254,259,7,1.4
 ,"097 Mahoonagh, Co. Limerick",511,522,268,254,11,2.2
 ,"098 Monagay, Co. Limerick",1219,1223,612,611,4,0.3
 ,"099 Mountcollins, Co. Limerick",490,487,260,227,-3,-0.6
 ,"100 Mountplummer, Co. Limerick",328,311,160,151,-17,-5.2
 ,"101 Newcastle Rural, Co. Limerick",2218,2249,1139,1110,31,1.4
 ,"102 Newcastle Urban, Co. Limerick",4880,5014,2457,2557,134,2.7
 ,"103 Port, Co. Limerick",541,505,258,247,-36,-6.7
 ,"104 Rathronan, Co. Limerick",852,863,444,419,11,1.3
 ,"105 Rooskagh, Co. Limerick",300,285,151,134,-15,-5
 ,"106 Templeglentan, Co. Limerick",915,968,480,488,53,5.8
 ,"Rathkeale rural area, Co. Limerick",15389,15230,7570,7660,-159,-1
 ,"107 Askeaton East, Co. Limerick",659,612,294,318,-47,-7.1
 ,"108 Askeaton West, Co. Limerick",1178,1183,574,609,5,0.4
 ,"109 Aughinish, Co. Limerick",213,237,148,89,24,11.3
 ,"110 Ballyallinan, Co. Limerick",415,429,234,195,14,3.4
 ,"111 Ballynacarriga, Co. Limerick",820,862,428,434,42,5.1
 ,"112 Castletown, Co. Limerick",452,481,249,232,29,6.4
 ,"113 Craggs, Co. Limerick",272,262,131,131,-10,-3.7
 ,"114 Croagh, Co. Limerick",748,782,386,396,34,4.5
 ,"115 Dromard, Co. Limerick",857,877,413,464,20,2.3
 ,"116 Dunmoylan East, Co. Limerick",467,438,223,215,-29,-6.2
 ,"117 Dunmoylan West, Co. Limerick",79,66,30,36,-13,-16.5
 ,"118 Iveruss, Co. Limerick",287,302,154,148,15,5.2
 ,"119 Kilcornan, Co. Limerick",745,772,391,381,27,3.6
 ,"120 Kildimo, Co. Limerick",666,665,313,352,-1,-0.2
 ,"121 Kilscannell, Co. Limerick",534,511,260,251,-23,-4.3
 ,"122 Lismakeery, Co. Limerick",428,433,226,207,5,1.2
 ,"123 Loghill, Co. Limerick",734,673,360,313,-61,-8.3
 ,"124 Mohernagh, Co. Limerick",138,136,76,60,-2,-1.4
 ,"125 Nantinan, Co. Limerick",759,729,342,387,-30,-4
 ,"126 Pallaskenry, Co. Limerick",1076,1074,544,530,-2,-0.2
 ,"127 Rathkeale Rural, Co. Limerick",321,314,151,163,-7,-2.2
 ,"128 Rathkeale Urban, Co. Limerick",1479,1351,596,755,-128,-8.7
 ,"129 Riddlestown, Co. Limerick",593,584,302,282,-9,-1.5
 ,"130 Shanagolden, Co. Limerick",946,925,478,447,-21,-2.2
 ,"131 Shanid, Co. Limerick",523,532,267,265,9,1.7
 ,"Tipperary No. 2 rural area, Co. Limerick",4810,4821,2453,2368,11,0.2
 ,"132 Bilboa, Co. Limerick",405,407,208,199,2,0.5
 ,"133 Doon South, Co. Limerick",1290,1272,635,637,-18,-1.4
 ,"134 Grean, Co. Limerick",1504,1510,771,739,6,0.4
 ,"135 Oola, Co. Limerick",1061,1091,559,532,30,2.8
 ,"136 Templebredon, Co. Limerick",550,541,280,261,-9,-1.6
 ,North Tipperary,70322,71370,35583,35787,1048,1.5
 ,"Nenagh Town, North Tipperary",8023,8679,4210,4469,656,8.2
 ,"001 Nenagh East Urban, North Tipperary",2912,3214,1579,1635,302,10.4
 ,"002 Nenagh West Urban, North Tipperary",5111,5465,2631,2834,354,6.9
 ,"Templemore Town, North Tipperary",1941,1943,949,994,2,0.1
 ,"003 Templemore, North Tipperary",1941,1943,949,994,2,0.1
 ,"Thurles Town, North Tipperary",6929,6851,3327,3524,-78,-1.1
 ,"004 Thurles Urban, North Tipperary",6929,6851,3327,3524,-78,-1.1
 ,"Borrisokane rural area, North Tipperary",7795,7716,3901,3815,-79,-1
 ,"005 Aglishcloghane, North Tipperary",299,266,141,125,-33,-11
 ,"006 Ballingarry, North Tipperary",531,500,265,235,-31,-5.8
 ,"007 Ballylusky, North Tipperary",349,338,185,153,-11,-3.2
 ,"008 Borrisokane, North Tipperary",1294,1247,623,624,-47,-3.6
 ,"009 Carrig, North Tipperary",174,177,85,92,3,1.7
 ,"010 Cloghjordan, North Tipperary",973,1054,542,512,81,8.3
 ,"011 Cloghprior, North Tipperary",294,301,148,153,7,2.4
 ,"012 Clohaskin, North Tipperary",242,231,113,118,-11,-4.5
 ,"013 Finnoe, North Tipperary",188,194,99,95,6,3.2
 ,"014 Graigue, North Tipperary",299,267,136,131,-32,-10.7
 ,"015 Kilbarron, North Tipperary",601,616,296,320,15,2.5
 ,"016 Lorrha East, North Tipperary",319,296,156,140,-23,-7.2
 ,"017 Lorrha West, North Tipperary",321,311,161,150,-10,-3.1
 ,"018 Mertonhall, North Tipperary",178,171,87,84,-7,-3.9
 ,"019 Rathcabban, North Tipperary",312,324,149,175,12,3.8
 ,"020 Redwood, North Tipperary",128,138,73,65,10,7.8
 ,"021 Riverstown, North Tipperary",566,560,273,287,-6,-1.1
 ,"022 Terryglass, North Tipperary",479,473,241,232,-6,-1.3
 ,"023 Uskane, North Tipperary",248,252,128,124,4,1.6
 ,"Nenagh rural area, North Tipperary",21582,22015,11047,10968,433,2
 ,"024 Abington, North Tipperary",615,572,306,266,-43,-7
 ,"025 Aghnameadle, North Tipperary",290,301,149,152,11,3.8
 ,"026 Ardcrony, North Tipperary",525,558,290,268,33,6.3
 ,"027 Ballina, North Tipperary",2959,3111,1524,1587,152,5.1
 ,"028 Ballygibbon, North Tipperary",630,617,313,304,-13,-2.1
 ,"029 Ballymackey, North Tipperary",546,553,287,266,7,1.3
 ,"030 Ballynaclogh, North Tipperary",667,680,352,328,13,1.9
 ,"031 Birdhill, North Tipperary",729,730,376,354,1,0.1
 ,"032 Burgesbeg, North Tipperary",405,429,217,212,24,5.9
 ,"033 Carrigatogher, North Tipperary",686,704,367,337,18,2.6
 ,"034 Castletown, North Tipperary",1468,1468,732,736,0,0
 ,"035 Derrycastle, North Tipperary",434,429,220,209,-5,-1.2
 ,"036 Dolla, North Tipperary",235,213,116,97,-22,-9.4
 ,"037 Greenhall, North Tipperary",358,384,195,189,26,7.3
 ,"038 Kilcomenty, North Tipperary",672,690,352,338,18,2.7
 ,"039 Kilkeary, North Tipperary",651,659,350,309,8,1.2
 ,"040 Killoscully, North Tipperary",418,458,228,230,40,9.6
 ,"041 Kilmore, North Tipperary",682,707,347,360,25,3.7
 ,"042 Kilnaneave, North Tipperary",473,447,243,204,-26,-5.5
 ,"043 Kilnarath, North Tipperary",334,330,167,163,-4,-1.2
 ,"044 Knigh, North Tipperary",776,768,381,387,-8,-1
 ,"045 Lackagh, North Tipperary",10,12,6,6,2,20
 ,"046 Latteragh, North Tipperary",688,684,359,325,-4,-0.6
 ,"047 Monsea, North Tipperary",681,636,299,337,-45,-6.6
 ,"048 Nenagh Rural, North Tipperary",1868,1874,899,975,6,0.3
 ,"049 Newport, North Tipperary",2729,2955,1453,1502,226,8.3
 ,"050 Templederry, North Tipperary",141,119,63,56,-22,-15.6
 ,"051 Youghalarra, North Tipperary",912,927,456,471,15,1.6
 ,"Roscrea No. 1 rural area, North Tipperary",8813,8847,4424,4423,34,0.4
 ,"052 Borrisnafarney, North Tipperary",296,309,154,155,13,4.4
 ,"053 Borrisnoe, North Tipperary",107,115,62,53,8,7.5
 ,"054 Bourney East, North Tipperary",255,274,143,131,19,7.5
 ,"055 Bourney West, North Tipperary",387,381,199,182,-6,-1.6
 ,"056 Killavinoge, North Tipperary",442,461,244,217,19,4.3
 ,"057 Killea, North Tipperary",381,381,189,192,0,0
 ,"058 Rathnaveoge, North Tipperary",278,263,125,138,-15,-5.4
 ,"059 Roscrea, North Tipperary",6318,6298,3110,3188,-20,-0.3
 ,"060 Timoney, North Tipperary",349,365,198,167,16,4.6
 ,"Thurles rural area, North Tipperary",15239,15319,7725,7594,80,0.5
 ,"061 Ballycahill, North Tipperary",434,440,212,228,6,1.4
 ,"062 Ballymurreen, North Tipperary",254,271,145,126,17,6.7
 ,"063 Borrisoleigh, North Tipperary",1231,1220,644,576,-11,-0.9
 ,"064 Drom, North Tipperary",1150,1185,593,592,35,3
 ,"065 Foilnaman, North Tipperary",332,331,174,157,-1,-0.3
 ,"066 Glenkeen, North Tipperary",419,435,215,220,16,3.8
 ,"067 Gortkelly, North Tipperary",526,546,277,269,20,3.8
 ,"068 Holycross, North Tipperary",1394,1404,725,679,10,0.7
 ,"069 Inch, North Tipperary",413,396,192,204,-17,-4.1
 ,"070 Kilrush, North Tipperary",523,500,249,251,-23,-4.4
 ,"071 Littleton, North Tipperary",1088,1102,546,556,14,1.3
 ,"072 Longfordpass, North Tipperary",298,320,160,160,22,7.4
 ,"073 Loughmoe, North Tipperary",638,635,317,318,-3,-0.5
 ,"074 Moyaliff, North Tipperary",408,391,196,195,-17,-4.2
 ,"075 Moycarky, North Tipperary",549,515,258,257,-34,-6.2
 ,"076 Moyne, North Tipperary",532,550,279,271,18,3.4
 ,"077 Rahelty, North Tipperary",765,768,386,382,3,0.4
 ,"078 Templetouhy, North Tipperary",849,814,410,404,-35,-4.1
 ,"079 Thurles Rural, North Tipperary",2300,2326,1151,1175,26,1.1
 ,"080 Twomileborris, North Tipperary",807,874,441,433,67,8.3
 ,"081 Upperchurch, North Tipperary",329,296,155,141,-33,-10
 ,South Tipperary,88432,89071,44595,44476,639,0.7
 ,"Carrick-on-Suir Town, South Tipperary",5886,6661,3300,3361,775,13.2
 ,"082 Carrickbeg Urban, South Tipperary",1534,2029,993,1036,495,32.3
 ,"083 Carrick-on-Suir Urban, South Tipperary",4352,4632,2307,2325,280,6.4
 ,"Cashel Town, South Tipperary",2275,2419,1156,1263,144,6.3
 ,"084 Cashel Urban, South Tipperary",2275,2419,1156,1263,144,6.3
 ,"Clonmel Borough, South Tipperary",14232,14257,6989,7268,25,0.2
 ,"085 Clonmel East Urban, South Tipperary",3922,3970,2004,1966,48,1.2
 ,"086 Clonmel West Urban, South Tipperary",5699,5561,2674,2887,-138,-2.4
 ,"133 Clonmel Rural (Part Urban), South Tipperary",3293,3346,1662,1684,53,1.6
 ,"134 Inishlounaght (Part Urban), South Tipperary",1318,1380,649,731,62,4.7
 ,"Tipperary Town, South Tipperary",4322,4214,2087,2127,-108,-2.5
 ,"087 Tipperary East Urban, South Tipperary",2467,2411,1217,1194,-56,-2.3
 ,"088 Tipperary West Urban, South Tipperary",1855,1803,870,933,-52,-2.8
 ,"Carrick-on-Suir No. 1 rural area, South Tipperary",1899,1919,980,939,20,1.1
 ,"089 Carrick-on-Suir Rural, South Tipperary",501,504,260,244,3,0.6
 ,"090 Garrangibbon, South Tipperary",634,646,331,315,12,1.9
 ,"091 Kilmurry, South Tipperary",342,355,173,182,13,3.8
 ,"092 Newtown, South Tipperary",422,414,216,198,-8,-1.9
 ,"Cashel rural area, South Tipperary",17543,17638,8893,8745,95,0.5
 ,"093 Ardmayle, South Tipperary",635,578,293,285,-57,-9
 ,"094 Ardsallagh, South Tipperary",435,422,211,211,-13,-3
 ,"095 Ballysheehan, South Tipperary",499,501,235,266,2,0.4
 ,"096 Cashel Rural, South Tipperary",2680,2978,1463,1515,298,11.1
 ,"097 Clogher, South Tipperary",244,230,119,111,-14,-5.7
 ,"098 Cloneen, South Tipperary",462,514,260,254,52,11.3
 ,"099 Clonoulty East, South Tipperary",530,543,277,266,13,2.5
 ,"100 Clonoulty West, South Tipperary",672,711,390,321,39,5.8
 ,"101 Colman, South Tipperary",451,441,228,213,-10,-2.2
 ,"102 Cooleagh, South Tipperary",541,552,268,284,11,2
 ,"103 Drangan, South Tipperary",667,671,342,329,4,0.6
 ,"104 Fethard, South Tipperary",900,873,428,445,-27,-3
 ,"105 Gaile, South Tipperary",761,744,358,386,-17,-2.2
 ,"106 Graigue, South Tipperary",153,146,74,72,-7,-4.6
 ,"107 Greystown, South Tipperary",445,427,214,213,-18,-4
 ,"108 Killeenasteena, South Tipperary",708,690,394,296,-18,-2.5
 ,"109 Killenaule, South Tipperary",1238,1149,576,573,-89,-7.2
 ,"110 Kilpatrick, South Tipperary",970,884,443,441,-86,-8.9
 ,"111 Knockgraffon, South Tipperary",782,788,413,375,6,0.8
 ,"112 Magorban, South Tipperary",639,624,289,335,-15,-2.3
 ,"113 Nodstown, South Tipperary",543,570,285,285,27,5
 ,"114 Oughterleague, South Tipperary",553,530,285,245,-23,-4.2
 ,"115 Peppardstown, South Tipperary",1352,1395,701,694,43,3.2
 ,"116 Tullamain, South Tipperary",683,677,347,330,-6,-0.9
 ,"Clogheen rural area, South Tipperary",13193,13360,6746,6614,167,1.3
 ,"117 Ardfinnan, South Tipperary",1117,1103,553,550,-14,-1.3
 ,"118 Ballybacon, South Tipperary",457,459,239,220,2,0.4
 ,"119 Ballyporeen, South Tipperary",952,921,462,459,-31,-3.3
 ,"120 Burncourt, South Tipperary",419,450,229,221,31,7.4
 ,"121 Caher, South Tipperary",1153,1136,556,580,-17,-1.5
 ,"122 Clogheen, South Tipperary",961,942,488,454,-19,-2
 ,"123 Coolagarranroe, South Tipperary",530,564,286,278,34,6.4
 ,"124 Derrygrath, South Tipperary",653,707,358,349,54,8.3
 ,"125 Kilcommon, South Tipperary",2134,2098,1058,1040,-36,-1.7
 ,"126 Kilcoran, South Tipperary",522,528,273,255,6,1.1
 ,"127 Mortlestown, South Tipperary",1721,1767,890,877,46,2.7
 ,"128 Newcastle, South Tipperary",680,737,377,360,57,8.4
 ,"129 Tubbrid, South Tipperary",593,605,310,295,12,2
 ,"130 Tullaghmelan, South Tipperary",1024,1068,539,529,44,4.3
 ,"131 Tullaghorton, South Tipperary",277,275,128,147,-2,-0.7
 ,"Clonmel No. 1 rural area, South Tipperary",8832,8795,4371,4424,-37,-0.4
 ,"132 Ballyclerahan, South Tipperary",1045,1092,545,547,47,4.5
 ,"133 Clonmel Rural (Part Rural), South Tipperary",2260,2304,1145,1159,44,1.9
 ,"134 Inishlounaght (Part Rural), South Tipperary",2006,1953,976,977,-53,-2.6
 ,"135 Kilcash, South Tipperary",824,806,408,398,-18,-2.2
 ,"136 Killaloan, South Tipperary",47,47,24,23,0,0
 ,"137 Kilsheelan, South Tipperary",1413,1393,683,710,-20,-1.4
 ,"138 Kiltinan, South Tipperary",332,313,166,147,-19,-5.7
 ,"139 Lisronagh, South Tipperary",905,887,424,463,-18,-2
 ,"Slievardagh rural area, South Tipperary",6056,5949,3065,2884,-107,-1.8
 ,"140 Anner, South Tipperary",416,371,188,183,-45,-10.8
 ,"141 Ballingarry, South Tipperary",757,710,375,335,-47,-6.2
 ,"142 Ballyphilip, South Tipperary",415,449,228,221,34,8.2
 ,"143 Buolick, South Tipperary",652,620,307,313,-32,-4.9
 ,"144 Crohane, South Tipperary",251,253,143,110,2,0.8
 ,"145 Farranrory, South Tipperary",479,481,262,219,2,0.4
 ,"146 Fennor, South Tipperary",539,509,252,257,-30,-5.6
 ,"147 Kilcooly, South Tipperary",291,312,164,148,21,7.2
 ,"148 Kilvemnon, South Tipperary",433,430,228,202,-3,-0.7
 ,"149 Modeshil, South Tipperary",348,348,177,171,0,0
 ,"150 Mullinahone, South Tipperary",862,859,431,428,-3,-0.3
 ,"151 New Birmingham, South Tipperary",435,431,216,215,-4,-0.9
 ,"152 Poyntstown, South Tipperary",178,176,94,82,-2,-1.1
 ,"Tipperary No. 1 rural area, South Tipperary",14194,13859,7008,6851,-335,-2.4
 ,"153 Ballycarron, South Tipperary",347,336,166,170,-11,-3.2
 ,"154 Ballygriffin, South Tipperary",250,260,136,124,10,4
 ,"155 Ballykisteen, South Tipperary",788,749,377,372,-39,-4.9
 ,"156 Bansha, South Tipperary",868,853,427,426,-15,-1.7
 ,"157 Bruis, South Tipperary",326,330,169,161,4,1.2
 ,"158 Cappagh, South Tipperary",907,873,428,445,-34,-3.7
 ,"159 Clonbeg, South Tipperary",746,730,364,366,-16,-2.1
 ,"160 Cullen, South Tipperary",282,286,147,139,4,1.4
 ,"161 Curraheen, South Tipperary",285,289,151,138,4,1.4
 ,"162 Donohill, South Tipperary",644,638,342,296,-6,-0.9
 ,"163 Drumwood, South Tipperary",559,574,292,282,15,2.7
 ,"164 Emly, South Tipperary",729,663,340,323,-66,-9.1
 ,"165 Glengar, South Tipperary",273,253,136,117,-20,-7.3
 ,"166 Golden, South Tipperary",802,827,401,426,25,3.1
 ,"167 Kilfeakle, South Tipperary",461,452,242,210,-9,-2
 ,"168 Killadriffe, South Tipperary",533,535,278,257,2,0.4
 ,"169 Kilmucklin, South Tipperary",561,542,277,265,-19,-3.4
 ,"170 Lattin, South Tipperary",526,495,247,248,-31,-5.9
 ,"171 Rathlynin, South Tipperary",394,364,181,183,-30,-7.6
 ,"172 Rodus, South Tipperary",255,249,128,121,-6,-2.4
 ,"173 Shronell, South Tipperary",403,370,194,176,-33,-8.2
 ,"174 Solloghodbeg, South Tipperary",238,227,117,110,-11,-4.6
 ,"175 Templeneiry, South Tipperary",428,395,210,185,-33,-7.7
 ,"176 Thomastown, South Tipperary",401,417,205,212,16,4
 ,"177 Tipperary Rural, South Tipperary",2188,2152,1053,1099,-36,-1.6
 ,Waterford,113795,116401,57779,58622,2606,2.3
 ,Waterford City,46732,48369,23850,24519,1637,3.5
 ,"001 Ballybeg North, Waterford City",2789,2844,1379,1465,55,2
 ,"002 Ballybeg South, Waterford City",290,292,154,138,2,0.7
 ,"003 Ballybricken West, Waterford City",130,144,66,78,14,10.8
 ,"004 Ballymaclode, Waterford City",1321,1246,609,637,-75,-5.7
 ,"005 Ballynakill, Waterford City",2150,2133,1045,1088,-17,-0.8
 ,"006 Ballynaneashagh, Waterford City",7,8,6,2,1,14.3
 ,"007 Ballytruckle, Waterford City",5917,5937,2855,3082,20,0.3
 ,"008 Bilberry, Waterford City",718,798,421,377,80,11.1
 ,"009 Centre A, Waterford City",679,786,432,354,107,15.8
 ,"010 Centre B, Waterford City",233,232,123,109,-1,-0.4
 ,"011 Cleaboy, Waterford City",2576,2549,1249,1300,-27,-1
 ,"012 Custom House A, Waterford City",287,351,196,155,64,22.3
 ,"013 Custom House B, Waterford City",213,267,176,91,54,25.4
 ,"014 Farranshoneen, Waterford City",5465,5598,2745,2853,133,2.4
 ,"015 Ferrybank, Waterford City",911,874,402,472,-37,-4.1
 ,"016 Gracedieu, Waterford City",1234,1665,800,865,431,34.9
 ,"017 Grange North, Waterford City",934,891,421,470,-43,-4.6
 ,"018 Grange South, Waterford City",2656,2730,1301,1429,74,2.8
 ,"019 Grange Upper, Waterford City",2327,2476,1210,1266,149,6.4
 ,"020 Kilbarry, Waterford City",982,1153,555,598,171,17.4
 ,"021 Kingsmeadow, Waterford City",1106,1121,545,576,15,1.4
 ,"022 Larchville, Waterford City",942,942,461,481,0,0
 ,"023 Lisduggan, Waterford City",1052,1002,467,535,-50,-4.8
 ,"024 Military Road, Waterford City",821,762,358,404,-59,-7.2
 ,"025 Morrisson's Avenue East, Waterford City",560,501,252,249,-59,-10.5
 ,"026 Morrisson's Avenue West, Waterford City",295,298,150,148,3,1
 ,"027 Morrisson's Road, Waterford City",508,503,258,245,-5,-1
 ,"028 Mount Sion, Waterford City",747,794,433,361,47,6.3
 ,"029 Newport's Square, Waterford City",556,543,257,286,-13,-2.3
 ,"030 Newtown, Waterford City",1106,1074,473,601,-32,-2.9
 ,"031 Park, Waterford City",1382,1525,849,676,143,10.3
 ,"032 Poleberry, Waterford City",1055,1370,715,655,315,29.9
 ,"033 Roanmore, Waterford City",814,801,381,420,-13,-1.6
 ,"034 Shortcourse, Waterford City",274,301,173,128,27,9.9
 ,"035 Slievekeale, Waterford City",592,595,287,308,3,0.5
 ,"036 The Glen, Waterford City",566,725,373,352,159,28.1
 ,"037 Ticor North, Waterford City",2164,2161,1083,1078,-3,-0.1
 ,"038 Ticor South, Waterford City",373,377,190,187,4,1.1
 ,Waterford County,67063,68032,33929,34103,969,1.4
 ,"Dungarvan Town, Co. Waterford",7991,8223,4102,4121,232,2.9
 ,"001 Dungarvan No. 1 Urban, Co. Waterford",4717,4772,2425,2347,55,1.2
 ,"002 Dungarvan No. 2 Urban, Co. Waterford",3274,3451,1677,1774,177,5.4
 ,"Carrick-on-Suir No. 2 rural area, Co. Waterford",5025,5062,2539,2523,37,0.7
 ,"003 Ballydurn, Co. Waterford",180,186,92,94,6,3.3
 ,"004 Carrickbeg Rural, Co. Waterford",445,459,230,229,14,3.1
 ,"005 Clonea, Co. Waterford",433,427,213,214,-6,-1.4
 ,"006 Fenoagh, Co. Waterford",234,221,104,117,-13,-5.6
 ,"007 Glen, Co. Waterford",449,427,215,212,-22,-4.9
 ,"008 Kilmeadan, Co. Waterford",729,744,374,370,15,2.1
 ,"009 Mothel, Co. Waterford",474,456,238,218,-18,-3.8
 ,"010 Portlaw, Co. Waterford",1598,1628,810,818,30,1.9
 ,"011 Rathgormuck, Co. Waterford",197,233,121,112,36,18.3
 ,"012 Ross, Co. Waterford",286,281,142,139,-5,-1.7
 ,"Clonmel No. 2 rural area, Co. Waterford",2795,2741,1365,1376,-54,-1.9
 ,"013 Ballymacarbry, Co. Waterford",470,512,250,262,42,8.9
 ,"014 Graignagower, Co. Waterford",514,520,261,259,6,1.2
 ,"015 Gurteen, Co. Waterford",376,351,195,156,-25,-6.6
 ,"016 Kilmacomma, Co. Waterford",491,462,216,246,-29,-5.9
 ,"017 Kilronan, Co. Waterford",218,213,94,119,-5,-2.3
 ,"018 St. Mary's, Co. Waterford",726,683,349,334,-43,-5.9
 ,"Dungarvan rural area, Co. Waterford",10536,10786,5333,5453,250,2.4
 ,"019 Aird Mhór, Co. Waterford",194,208,108,100,14,7.2
 ,"020 Baile Mhac Airt, Co. Waterford",351,363,181,182,12,3.4
 ,"021 Bohadoon, Co. Waterford",268,310,145,165,42,15.7
 ,"022 Cappagh, Co. Waterford",370,363,182,181,-7,-1.9
 ,"023 Carriglea, Co. Waterford",562,537,267,270,-25,-4.4
 ,"024 Clonea, Co. Waterford",2123,2294,1120,1174,171,8.1
 ,"025 Colligan, Co. Waterford",660,696,373,323,36,5.5
 ,"026 Coumaraglin, Co. Waterford",239,255,130,125,16,6.7
 ,"027 Dromana, Co. Waterford",765,793,382,411,28,3.7
 ,"028 Dromore, Co. Waterford",259,242,130,112,-17,-6.6
 ,"029 Dungarvan Rural, Co. Waterford",1867,1897,909,988,30,1.6
 ,"030 Keereen, Co. Waterford",227,227,115,112,0,0
 ,"031 Knockaunbrandaun, Co. Waterford",211,210,104,106,-1,-0.5
 ,"032 Modelligo, Co. Waterford",327,328,167,161,1,0.3
 ,"033 Mountstuart, Co. Waterford",92,91,48,43,-1,-1.1
 ,"034 An Rinn, Co. Waterford",1350,1360,672,688,10,0.7
 ,"035 Seskinan, Co. Waterford",455,406,200,206,-49,-10.8
 ,"036 Whitechurch, Co. Waterford",216,206,100,106,-10,-4.6
 ,"Kilmacthomas rural area, Co. Waterford",7443,7437,3777,3660,-6,-0.1
 ,"037 Annestown, Co. Waterford",816,816,426,390,0,0
